code,name,market,industry,ticker
3052,夆典,TWSE,建材營造業,3052.TW
3054,立萬利,TWSE,Other,3054.TW
3055,蔚華科,TWSE,Electronics,3055.TW
3056,富華新,TWSE,建材營造業,3056.TW
3057,喬鼎,TWSE,Computer,3057.TW
3058,立德,TWSE,Electronics,3058.TW
3059,華晶科,TWSE,Electronics,3059.TW
3060,銘異,TWSE,Computer,3060.TW
3062,建漢,TWSE,Communication,3062.TW
3090,日電貿,TWSE,Electronics,3090.TW
3092,鴻碩,TWSE,Electronics,3092.TW
3094,聯傑,TWSE,Semiconductor,3094.TW
3130,一零四,TWSE,AI Server,3130.TW
3135,凌航,TWSE,Semiconductor,3135.TW
3138,耀登,TWSE,Communication,3138.TW
3149,正達,TWSE,Electronics,3149.TW
3164,景岳,TWSE,Other,3164.TW
3167,大量,TWSE,Other,3167.TW
3168,眾福科,TWSE,Electronics,3168.TW
3189,景碩,TWSE,Semiconductor,3189.TW
3209,全科,TWSE,Electronics,3209.TW
3229,晟鈦,TWSE,Electronics,3229.TW
3231,緯創,TWSE,Computer,3231.TW
3257,虹冠電,TWSE,Semiconductor,3257.TW
3266,昇陽,TWSE,建材營造業,3266.TW
3296,勝德,TWSE,Electronics,3296.TW
3305,昇貿,TWSE,Electronics,3305.TW
3308,聯德,TWSE,Electronics,3308.TW
3311,閎暉,TWSE,Communication,3311.TW
3312,弘憶股,TWSE,Electronics,3312.TW
3321,同泰,TWSE,Electronics,3321.TW
3338,泰碩,TWSE,Electronics,3338.TW
3346,麗清,TWSE,汽車工業,3346.TW
3356,奇偶,TWSE,Electronics,3356.TW
3376,新日興,TWSE,Electronics,3376.TW
3380,明泰,TWSE,Communication,3380.TW
3406,玉晶光,TWSE,Electronics,3406.TW
3413,京鼎,TWSE,Semiconductor,3413.TW
3416,融程電,TWSE,Computer,3416.TW
3419,譁裕,TWSE,Communication,3419.TW
3432,台端,TWSE,Electronics,3432.TW
3437,榮創,TWSE,Electronics,3437.TW
3443,創意,TWSE,Semiconductor,3443.TW
3447,展達,TWSE,Communication,3447.TW
3450,聯鈞,TWSE,Semiconductor,3450.TW
